structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Perifornical nucleus,0.0,0.0,0.0,0.1168469999999999,0.1163859999999999,0.2332329999999999,0.0,0.0
Peripeduncular nucleus,2.0,0.0,2.0,0.044085,0.0398829999999999,0.0839679999999999,45.366904842917094,0.0
Perireunensis nucleus,3.0,0.0,3.0,0.0981549999999999,0.098214,0.196369,30.56390402934138,0.0
"Perirhinal area, layer 1",0.0,0.0,0.0,0.1177629999999999,0.117813,0.235576,0.0,0.0
"Perirhinal area, layer 2/3",0.0,0.0,0.0,0.1815679999999999,0.172788,0.354356,0.0,0.0
"Perirhinal area, layer 5",1.0,3.0,4.0,0.0905499999999999,0.083619,0.174169,11.043622308117076,35.87701359738816
"Perirhinal area, layer 6a",0.0,0.0,0.0,0.02744,0.023785,0.051225,0.0,0.0
"Perirhinal area, layer 6b",0.0,0.0,0.0,0.006731,0.005846,0.012577,0.0,0.0
Peritrigeminal zone,0.0,3.0,3.0,0.211284,0.1940009999999999,0.405285,0.0,15.463837815269002
"Periventricular hypothalamic nucleus, anterior part",0.0,0.0,0.0,0.0251629999999999,0.025133,0.0502959999999999,0.0,0.0
"Periventricular hypothalamic nucleus, intermediate part",0.0,0.0,0.0,0.095706,0.096594,0.1923,0.0,0.0
